lon,lat,k2,k3,k4,k5,k6
-73.9574045,40.6091307,1,1,1,0,2
-73.9595125,40.5895638,1,1,1,0,2
-73.9200534,40.6688977,0,0,2,1,1
-73.8975686,40.6559822,0,0,2,1,1
-73.981469,40.6908246,0,2,0,4,3
-73.8875939,40.6765889,0,0,2,1,1
-73.9224976,40.6098096,1,0,1,3,5
-73.9101119,40.6739216,0,0,2,1,1
-73.9787824,40.6233217,1,1,3,2,0
-73.8916479,40.659932,0,0,2,1,1
-73.9492753,40.6240728,1,1,1,3,5
-73.9556114,40.5813966,1,1,1,0,2
-74.0229587,40.6268923,1,1,3,2,0
-73.9168455,40.7004109,0,2,0,1,4
-74.0274902,40.6169854,1,1,3,2,0
-73.9652647,40.6198737,1,1,1,0,2
-73.9297023,40.6938623,0,2,0,4,4
-73.9715677,40.6299872,1,1,3,2,0
-73.9436055,40.6492783,0,0,2,3,5
-73.94992,40.676094,0,2,0,4,3
-73.9252653,40.6790734,0,0,2,1,1
-73.8999892,40.6328458,0,0,2,1,1
-73.9612157,40.6945991,0,2,0,4,4
-73.8949099,40.6759124,0,0,2,1,1
-73.9493687,40.6624532,0,0,2,3,5
-73.9482076,40.7141641,0,2,0,4,4
-73.9606312,40.7135076,0,2,0,4,4
-73.9046588,40.6326356,0,0,2,1,1
-73.8869359,40.6776972,0,0,2,1,1
-73.8818271,40.6676022,0,0,2,1,1
-73.941946,40.6720783,0,2,2,4,5
-73.9963405,40.6814746,0,2,3,2,3
-74.00136,40.629597,1,1,3,2,0
-73.9832752,40.6635006,1,2,3,2,3
-73.8868607,40.6773595,0,0,2,1,1
-73.9868618,40.6992188,0,2,0,4,3
-73.9440046,40.7019617,0,2,0,4,4
-73.9544874,40.6723145,0,2,0,4,3
-73.9307664,40.6553345,0,0,2,3,5
-73.9906986,40.7025403,0,2,0,4,3
-73.9776156,40.6331533,1,1,3,2,0
-73.9548849,40.628335,1,1,1,3,5
-73.9461097,40.6363872,1,0,2,3,5
-73.9322649,40.6419491,0,0,2,3,5
-73.9677125,40.7052151,0,2,0,4,4
-73.9332254,40.6759684,0,0,2,1,1
-73.9360259,40.6878906,0,2,0,4,4
-73.9906934,40.6624502,1,1,3,2,3
-73.9008879,40.6390525,0,0,2,1,1
-73.9686568,40.6146211,1,1,1,0,2
-73.9313107,40.7042577,0,2,0,4,4
-73.9575297,40.7294178,0,2,0,4,4
-73.9651886,40.6897833,0,2,0,4,3
-73.9276911,40.6064808,1,0,1,3,5
-73.9397158,40.6746326,0,2,0,4,4
-73.9691048,40.6894687,0,2,0,4,3
-73.9166866,40.6803713,0,0,2,1,1
-73.952205,40.7233196,0,2,0,4,4
-73.9943603,40.6902385,0,2,0,4,3
-73.9268932,40.7036676,0,2,0,4,4
-73.9560368,40.7336359,0,2,0,4,4
-73.9089596,40.6861541,0,0,2,1,1
-73.9486116,40.7093912,0,2,0,4,4
-73.92737,40.6235615,1,0,2,3,5
-73.9623848,40.680678,0,2,0,4,3
-73.9114377,40.633857,0,0,2,3,5
-73.984279,40.610175,1,1,1,0,2
-73.9488887,40.6444252,0,0,2,3,5
-73.9582932,40.6798312,0,2,0,4,3
-73.9033142,40.6778685,0,0,2,1,1
-73.958191,40.710578,0,2,0,4,4
-73.9872553,40.6220219,1,1,3,2,0
-73.9187093,40.6744028,0,0,2,1,1
-73.9867258,40.5857713,1,1,1,0,2
-73.9562279,40.6404318,1,1,2,3,5
-73.9286112,40.6351864,0,0,2,3,5
-73.9647845,40.6016344,1,1,1,0,2
-73.8946807,40.6475284,0,0,2,1,1
-73.9108345,40.6700081,0,0,2,1,1
-73.9307959,40.6373369,0,0,2,3,5
-73.9679609,40.6837264,0,2,0,4,3
-73.9533863,40.659227,0,0,2,3,5
-73.9078755,40.5965113,1,0,1,3,5
-73.8961904,40.6731495,0,0,2,1,1
-73.9595241,40.6357861,1,1,3,3,5
-73.9001107,40.6383656,0,0,2,1,1
-73.9251158,40.6933955,0,2,0,4,4
-73.9551127,40.7128193,0,2,0,4,4
-73.9664358,40.5832749,1,1,1,0,2
-73.9547667,40.632669,1,1,1,3,5
-73.9186024,40.6320672,0,0,2,3,5
-73.9930182,40.6974627,0,2,0,4,3
-74.0113274,40.6337945,1,1,3,2,0
-73.9275386,40.6772496,0,0,2,1,1
-73.9489157,40.6939053,0,2,0,4,4
-73.9137605,40.6541702,0,0,2,1,1
-73.9830947,40.5937335,1,1,1,0,2
-73.9723956,40.6056521,1,1,1,0,2
-73.98056,40.6919882,0,2,0,4,3
-74.0131754,40.6320129,1,1,3,2,0
-73.9977679,40.6911938,0,2,0,4,3
-73.9604721,40.6472432,1,1,3,3,5
-73.946481,40.6317075,1,0,2,3,5
-73.9539999,40.6736318,0,2,0,4,3
-73.973516,40.6228375,1,1,1,0,2
-73.8895878,40.6698908,0,0,2,1,1
-73.9656953,40.6442201,1,1,3,3,5
-73.9901326,40.7007397,0,2,0,4,3
-73.9162665,40.6646544,0,0,2,1,1
-73.9989518,40.6215615,1,1,3,2,0
-73.9651721,40.6247649,1,1,1,0,5
-73.9532053,40.6396923,1,0,2,3,5
-73.9373504,40.7135466,0,2,0,4,4
-73.9345287,40.7144344,0,2,0,4,4
-73.9732655,40.6546496,1,1,3,2,3
-73.9024987,40.634009,0,0,2,1,1
-73.9125376,40.6495223,0,0,2,1,1
-73.9191855,40.6532903,0,0,2,1,1
-74.0130693,40.6237209,1,1,3,2,0
-73.9380262,40.6656014,0,0,2,3,5
-73.9818306,40.6737741,0,2,0,4,3
-73.9614295,40.6616893,0,2,0,3,3
-73.9299991,40.6481811,0,0,2,3,5
-73.9451224,40.6364471,1,0,2,3,5
-74.031498,40.6374358,1,1,3,2,0
-73.9730349,40.6812629,0,2,0,4,3
-74.0055846,40.6358672,1,1,3,2,0
-73.8825104,40.6562148,0,0,2,1,1
-73.9830033,40.5848102,1,1,1,0,2
-73.9416182,40.6306072,1,0,2,3,5
-73.9599419,40.5819581,1,1,1,0,2
-73.8944384,40.666297,0,0,2,1,1
-73.962186,40.6497882,1,1,3,3,5
-73.9057928,40.6893657,0,0,2,1,1
-73.9407364,40.6985812,0,2,0,4,4
-73.9818291,40.6792225,0,2,0,4,3
-73.9543326,40.6773429,0,2,0,4,3
-73.9592007,40.6461284,1,1,3,3,5
-74.0021659,40.6529481,1,1,3,2,0
-73.9538481,40.6637286,0,2,0,3,5
-73.9302061,40.6501081,0,0,2,3,5
-73.9804599,40.6764116,0,2,0,4,3
-73.9278604,40.6464396,0,0,2,3,5
-73.9588329,40.594054,1,1,1,0,2
-73.9343074,40.6644959,0,0,2,3,5
-73.9513656,40.701858,0,2,0,4,4
-73.8655633,40.6690638,0,0,2,1,1
-73.9471611,40.7055122,0,2,0,4,4
-74.0030201,40.6534751,1,1,3,2,0
-73.9151117,40.6855577,0,0,2,1,1
-73.9498624,40.681804,0,2,0,4,4
-73.9715677,40.6299872,1,1,3,2,0
-73.9229145,40.6542782,0,0,2,3,5
-73.943169,40.7175158,0,2,0,4,4
-73.9436095,40.5891481,1,1,1,0,2
-73.9783481,40.6627999,1,2,3,2,3
-73.9481706,40.7246381,0,2,0,4,4
-73.9681792,40.67959,0,2,0,4,3
-73.8612312,40.6669479,0,0,2,1,1
-73.9856325,40.6637974,1,2,3,2,3
-74.0236552,40.6199616,1,1,3,2,0
-73.9875875,40.5786651,1,1,1,0,2
-73.9363202,40.6893537,0,2,0,4,4
-73.9342298,40.6078983,1,0,1,3,5
-73.8887724,40.6703265,0,0,2,1,1
-73.9911065,40.5918817,1,1,1,0,2
-73.9709207,40.6265698,1,1,1,0,2
-73.9848092,40.6386166,1,1,3,2,0
-73.9859336,40.6375353,1,1,3,2,0
-73.899075,40.6656095,0,0,2,1,1
-73.9120649,40.644521,0,0,2,1,1
-74.0267714,40.6208475,1,1,3,2,0
-73.9078755,40.5965113,1,0,1,3,5
-74.0174913,40.6448799,1,1,3,2,0
-73.9882988,40.6898703,0,2,0,4,3
-73.9504404,40.6899892,0,2,0,4,4
-73.9659052,40.6000839,1,1,1,0,2
-73.9771826,40.6454142,1,1,3,2,0
-73.8974769,40.6781627,0,0,2,1,1
-73.9208682,40.6262526,0,0,2,3,5
-73.8974769,40.6781627,0,0,2,1,1
-73.9082236,40.6838644,0,0,2,1,1
-73.8845511,40.6682829,0,0,2,1,1
-73.9127186,40.6461217,0,0,2,1,1
-73.9239744,40.6191319,1,0,2,3,5
-73.8906229,40.6585778,0,0,2,1,1
-73.9373966,40.6797311,0,2,0,4,4
-73.8909597,40.6752252,0,0,2,1,1
-73.9526423,40.5903077,1,1,1,0,2
-73.956076,40.5921015,1,1,1,0,2
-73.9556741,40.5899851,1,1,1,0,2
-73.8983484,40.6173115,0,0,2,3,1
-73.9129791,40.6453259,0,0,2,1,1
-73.9462597,40.6470069,0,0,2,3,5
-73.9711345,40.5820191,1,1,1,0,2
-73.9290511,40.6686786,0,0,2,1,1
-73.9295994,40.6444315,0,0,2,3,5
-73.9727156,40.6775217,0,2,0,4,3
-73.9894863,40.6598782,1,1,3,2,3
-73.9985947,40.6425838,1,1,3,2,0
-73.9531302,40.71076,0,2,0,4,4
-73.9469994,40.6775017,0,2,0,4,4
-73.8715626,40.6816856,0,0,2,1,1
-73.9530759,40.6187742,1,1,1,3,5
-73.9530759,40.6187742,1,1,1,3,5
-73.920549,40.6886412,0,0,2,1,1
-73.9853635,40.6906659,0,2,0,4,3
-73.9905035,40.578358,1,1,1,0,2
-73.9491535,40.6468847,0,0,2,3,5
-73.9257218,40.6446733,0,0,2,3,5
-73.9632782,40.5772134,1,1,1,0,2
-73.8824124,40.6484415,0,0,2,1,1
-73.9384349,40.6797866,0,2,0,4,4
-73.9459301,40.6934977,0,2,0,4,4
-73.9376305,40.7033747,0,2,0,4,4
-73.9438905,40.6832396,0,2,0,4,4
-73.9435263,40.69603,0,2,0,4,4
-73.9585253,40.7355527,0,2,0,4,4
-73.9763943,40.6430508,1,1,3,2,0
-73.9833217,40.6936492,0,2,0,4,3
-73.9159014,40.6197521,0,0,2,3,5
-73.8971676,40.6730159,0,0,2,1,1
-73.955497,40.7099485,0,2,0,4,4
-73.9379797,40.711815,0,2,0,4,4
-73.928315,40.6257854,1,0,2,3,5
-73.9247844,40.6771023,0,0,2,1,1
-73.9280981,40.6398578,0,0,2,3,5
-73.9905035,40.578358,1,1,1,0,2
-73.9880022,40.6750759,0,2,3,2,3
-73.9846394,40.5935526,1,1,1,0,2
-73.9168551,40.6724994,0,0,2,1,1
-73.9658027,40.7089008,0,2,0,4,4
-73.9658512,40.712683,0,2,0,4,4
-73.9552939,40.6792042,0,2,0,4,3
-73.9912114,40.6426851,1,1,3,2,0
-73.9543062,40.6947914,0,2,0,4,4
-73.9942667,40.6049965,1,1,1,0,2
-73.9263299,40.7140452,0,2,0,4,4
-73.9840884,40.6392972,1,1,3,2,0
-73.9118982,40.6589172,0,0,2,1,1
-73.976997,40.6298704,1,1,3,2,0
-73.9164642,40.6766464,0,0,2,1,1
-73.9535403,40.6606489,0,2,2,3,5
-73.9497681,40.6776512,0,2,0,4,3
-73.9448015,40.7064415,0,2,0,4,4
-73.9164642,40.6766464,0,0,2,1,1
-73.9841275,40.5960695,1,1,1,0,2
-74.0262626,40.6279209,1,1,3,2,0
-73.976049,40.6312756,1,1,3,2,0
-73.9224254,40.6812097,0,0,2,1,1
-73.9041314,40.6385777,0,0,2,1,1
-73.9276152,40.6764454,0,0,2,1,1
-73.9722693,40.6410626,1,1,3,2,0
-74.0118335,40.6229635,1,1,3,2,0
-73.9480682,40.6661388,0,2,2,3,5
-74.0116096,40.6404149,1,1,3,2,0
-73.921631,40.700675,0,2,0,4,4
-73.9171955,40.6160915,1,0,2,3,5
-73.8975686,40.6559822,0,0,2,1,1
-73.9306135,40.6741471,0,0,2,1,1
-73.9495012,40.696848,0,2,0,4,4
-73.9404116,40.6948811,0,2,0,4,4
-73.9540418,40.6388774,1,1,2,3,5
-74.0032536,40.6381043,1,1,3,2,0
-73.9386598,40.6860914,0,2,0,4,4
-73.9413784,40.6780095,0,2,0,4,4
-73.8891495,40.6754953,0,0,2,1,1
-73.9598409,40.7200755,0,2,0,4,4
-73.9726364,40.6508616,1,1,3,2,3
-73.9917425,40.5734312,1,1,1,0,2
-73.9927692,40.665508,1,2,3,2,3
-73.9000457,40.6768941,0,0,2,1,1
-73.9195931,40.661997,0,0,2,1,1
-73.975589,40.6870851,0,2,0,4,3
-73.9577247,40.717835,0,2,0,4,4
-73.9577247,40.717835,0,2,0,4,4
-73.9909565,40.636147,1,1,3,2,0
-74.0310592,40.6234622,1,1,3,2,0
-73.9980109,40.6431465,1,1,3,2,0
-73.8968533,40.6757357,0,0,2,1,1
-73.9306857,40.6636209,0,0,2,3,5
-73.8810776,40.6714688,0,0,2,1,1
-73.9745818,40.6334876,1,1,3,2,0
-73.9546828,40.6872462,0,2,0,4,4
-73.9624863,40.7053507,0,2,0,4,4
-73.9210328,40.6881146,0,0,2,1,1
-73.9850075,40.6057313,1,1,1,0,2
-73.8655633,40.6690638,0,0,2,1,1
-73.9630763,40.6494399,1,1,3,3,5
-73.929027,40.7082774,0,2,0,4,4
-73.9524697,40.6506684,0,0,2,3,5
-73.9235659,40.6424981,0,0,2,3,5
-73.9129115,40.6667461,0,0,2,1,1
-73.9872553,40.6220219,1,1,3,2,0
-74.0235199,40.6346161,1,1,3,2,0
-73.9477726,40.6339973,1,0,2,3,5
-73.9571664,40.6997084,0,2,0,4,4
-74.0180605,40.6443254,1,1,3,2,0
-73.9597977,40.713886,0,2,0,4,4
-73.9379797,40.711815,0,2,0,4,4
-73.9912096,40.629005,1,1,3,2,0
-74.0110296,40.6409749,1,1,3,2,0
-73.9894885,40.6233698,1,1,3,2,0
-73.9686568,40.6146211,1,1,1,0,2
-73.9676868,40.6094167,1,1,1,0,2
-73.8996267,40.6414915,0,0,2,1,1
-73.9113219,40.672196,0,0,2,1,1
-73.9339176,40.6394962,0,0,2,3,5
-73.8862898,40.6527684,0,0,2,1,1
-73.9457743,40.725433,0,2,0,4,4
-73.9493575,40.6961206,0,2,0,4,4
-73.942223,40.6894282,0,2,0,4,4
-73.9709347,40.6192495,1,1,1,0,2
-73.9164733,40.6578502,0,0,2,1,1
-73.9547539,40.7206006,0,2,0,4,4
-73.9755114,40.6333862,1,1,3,2,0
-74.0135708,40.6277283,1,1,3,2,0
-73.9443425,40.6470773,0,0,2,3,5
-73.9303181,40.6774132,0,0,2,1,1
-73.9872545,40.607244,1,1,1,0,2
-73.9635563,40.6416092,1,1,3,3,5
-73.9281805,40.6704292,0,0,2,1,1
-73.9973009,40.6472719,1,1,3,2,0
-73.9514819,40.7304639,0,2,0,4,4
-73.9219163,40.6449096,0,0,2,3,5
-73.9595323,40.7114239,0,2,0,4,4
-73.9298351,40.6327553,0,0,2,3,5
-74.0381977,40.6275992,1,1,3,2,0
-73.919232,40.6476443,0,0,2,3,5
-73.9212962,40.6390546,0,0,2,3,5
-73.9802671,40.6579365,1,1,3,2,3
-74.0032536,40.6381043,1,1,3,2,0
-73.9317338,40.6010623,1,0,1,0,2
-73.940894,40.7039144,0,2,0,4,4
-73.9576147,40.7036391,0,2,0,4,4
-73.9620803,40.575761,1,1,1,0,2
-73.9557895,40.6495224,0,0,2,3,5
-73.9186024,40.6320672,0,0,2,3,5
-73.9556509,40.6466293,1,0,2,3,5
-73.9958941,40.6695924,1,2,3,2,3
-73.946658,40.7077544,0,2,0,4,4
-73.923009,40.6067166,1,0,1,3,5
-73.8965093,40.674396,0,0,2,1,1
-73.980302,40.600897,1,1,1,0,2
-73.9956767,40.6307894,1,1,3,2,0
-73.9979393,40.6294253,1,1,3,2,0
-74.0015202,40.6259834,1,1,3,2,0
-73.9481952,40.7068521,0,2,0,4,4
-74.0062416,40.6490229,1,1,3,2,0
-73.9362074,40.7205753,0,2,0,4,4
-73.933382,40.6743025,0,0,2,1,1
-73.8966494,40.6561186,0,0,2,1,1
-73.9616177,40.6666958,0,2,0,4,3
-73.9478547,40.7041126,0,2,0,4,4
-73.9124432,40.688553,0,0,2,1,1
-73.9543789,40.730907,0,2,0,4,4
-74.015738,40.6364509,1,1,3,2,0
-73.919961,40.6527885,0,0,2,1,1
-74.0140002,40.64824,1,1,3,2,0
-73.9253821,40.642384,0,0,2,3,5
-73.874567,40.6849552,0,0,2,1,1
-73.9763729,40.6117684,1,1,1,0,2
-74.0038533,40.602669,1,1,3,0,0
-73.9390758,40.6728262,0,0,2,4,5
-73.912423,40.6572461,0,0,2,1,1
-74.0073338,40.6515124,1,1,3,2,0
-73.9706295,40.5926633,1,1,1,0,2
-73.9543062,40.6947914,0,2,0,4,4
-73.9563012,40.6550478,0,0,2,3,5
-73.9406885,40.7119619,0,2,0,4,4
-74.0179326,40.6377818,1,1,3,2,0
-73.9577067,40.6382311,1,1,3,3,5
-74.0136227,40.6350212,1,1,3,2,0
-73.9162995,40.6785759,0,0,2,1,1
-73.9642156,40.6350987,1,1,3,3,5
-73.9113364,40.6720753,0,0,2,1,1
-73.9638107,40.6175896,1,1,1,0,2
-73.9254802,40.641588,0,0,2,3,5
-73.9543917,40.6857804,0,2,0,4,4
-73.9862718,40.6921949,0,2,0,4,3
-73.9307664,40.6553345,0,0,2,3,5
-73.9919451,40.624855,1,1,3,2,0
-73.9500096,40.682537,0,2,0,4,4
-73.9401581,40.6437815,0,0,2,3,5
-73.9865462,40.5836578,1,1,1,0,2
-74.0048751,40.6399954,1,1,3,2,0
-73.9399594,40.7083906,0,2,0,4,4
-73.9665738,40.6815658,0,2,0,4,3
-73.9502486,40.6570957,0,0,2,3,5
-73.9935407,40.6267682,1,1,3,2,0
-74.0230727,40.6333618,1,1,3,2,0
-73.9299991,40.6481811,0,0,2,3,5
-73.9616787,40.6797033,0,2,0,4,3
-73.9403276,40.6798891,0,2,0,4,4
-73.961304,40.57976,1,1,1,0,2
-73.9874573,40.6395035,1,1,3,2,0
-73.9487732,40.7104315,0,2,0,4,4
-74.0053743,40.618844,1,1,3,2,0
-74.0004574,40.6059354,1,1,3,0,0
-73.9885511,40.6070026,1,1,1,0,2
-73.9868932,40.5763924,1,1,1,0,2
-73.9840137,40.5901544,1,1,1,0,2
-73.9683898,40.7068292,0,2,0,4,4
-73.9265457,40.6523922,0,0,2,3,5
-73.981,40.6283094,1,1,3,2,0
-73.9322649,40.6419491,0,0,2,3,5
-73.9074704,40.6471826,0,0,2,1,1
-73.9038128,40.622191,0,0,2,3,5
-73.981,40.6283094,1,1,3,2,0
-73.9453483,40.690566,0,2,0,4,4
-73.9480392,40.6895106,0,2,0,4,4
-73.9611433,40.7075241,0,2,0,4,4
-73.9339793,40.7155896,0,2,0,4,4
-73.9534376,40.6682244,0,2,0,4,3
-73.9613466,40.6804635,0,2,0,4,3
-74.0169076,40.6454454,1,1,3,2,0
-73.8628301,40.6694586,0,0,2,1,1
-73.9598709,40.7002336,0,2,0,4,4
-73.8934829,40.677761,0,0,2,1,1
-73.9450215,40.6627147,0,0,2,3,5
-73.9549775,40.688712,0,2,0,4,4
-73.9427329,40.7044725,0,2,0,4,4
-73.9952911,40.6323924,1,1,3,2,0
-73.964927,40.6388511,1,1,3,3,5
-73.9679172,40.6396507,1,1,3,3,5
-73.9276429,40.7040907,0,2,0,4,4
-73.9956963,40.6626948,1,1,3,2,3
-73.9804621,40.6812232,0,2,0,4,3
-74.0160711,40.6431097,1,1,3,2,0
-73.9762114,40.5798272,1,1,1,0,2
-73.9722057,40.5860021,1,1,1,0,2
-73.9276125,40.6258233,1,0,2,3,5
-73.9718517,40.6314942,1,1,3,2,0
-73.9890171,40.5761593,1,1,1,0,2
-73.946481,40.6317075,1,0,2,3,5
-73.946481,40.6317075,1,0,2,3,5
-73.995851,40.667973,1,2,3,2,3
-73.9372659,40.6346508,1,0,2,3,5
-74.022639,40.6294862,1,1,3,2,0
-73.924128,40.6900051,0,2,0,1,4
-73.9511173,40.7109568,0,2,0,4,4
-73.9491181,40.7263019,0,2,0,4,4
-73.9311201,40.6687978,0,0,2,1,1
-73.9517381,40.7254356,0,2,0,4,4
-73.9598617,40.6556338,0,2,3,3,5
-73.9059739,40.640237,0,0,2,1,1
-73.9232296,40.6121926,1,0,2,3,5
-73.936979,40.7019114,0,2,0,4,4
-73.937483,40.6952172,0,2,0,4,4
-73.9746155,40.6871919,0,2,0,4,3
-73.9349879,40.6208652,1,0,1,3,5
-73.9307664,40.6553345,0,0,2,3,5
-74.0105715,40.6379639,1,1,3,2,0
-73.9497788,40.6348134,1,0,2,3,5
-73.9466104,40.6410646,1,0,2,3,5
-73.9245917,40.6466434,0,0,2,3,5
-73.9742856,40.5887089,1,1,1,0,2
-73.9386241,40.6778626,0,2,0,4,4
-73.897203,40.6289594,0,0,2,1,1
-73.9399649,40.6622318,0,0,2,3,5
-73.9543177,40.6727536,0,2,0,4,3
-73.9762346,40.6259754,1,1,3,2,0
-73.918015,40.6702714,0,0,2,1,1
-73.918015,40.6702714,0,0,2,1,1
-73.9244699,40.6237435,1,0,2,3,5
-73.948221,40.6644014,0,0,2,3,5
-73.9334286,40.6348847,0,0,2,3,5
-73.94538,40.6651,0,0,2,3,5
-73.9637444,40.7064792,0,2,0,4,4
-73.9546828,40.6872462,0,2,0,4,4
-73.955306,40.736578,0,2,0,4,4
-73.9552712,40.6701245,0,2,0,4,3
-73.9239744,40.6191319,1,0,2,3,5
-73.9450059,40.7079101,0,2,0,4,4
-73.9812022,40.5755654,1,1,1,0,2
-73.917751,40.6241643,0,0,2,3,5
-73.9253821,40.642384,0,0,2,3,5
-74.0127028,40.6290239,1,1,3,2,0
-73.9457051,40.6510057,0,0,2,3,5
-73.9390758,40.6728262,0,0,2,4,5
-73.9222993,40.6718993,0,0,2,1,1
-73.959474,40.5758727,1,1,1,0,2
-73.9086739,40.6578031,0,0,2,1,1
-74.0184306,40.6408367,1,1,3,2,0
-74.0000829,40.648046,1,1,3,2,0
-73.9552939,40.6792042,0,2,0,4,3
-74.0185524,40.6509814,1,1,3,2,0
-73.9500905,40.6997906,0,2,0,4,4
-73.9593299,40.6529272,0,0,3,3,5
-73.9226143,40.6427335,0,0,2,3,5
-73.9370159,40.6323121,1,0,2,3,5
-73.9306058,40.6538055,0,0,2,3,5
-73.9322649,40.6419491,0,0,2,3,5
-73.9878392,40.6598177,1,1,3,2,3
-73.9608678,40.5808248,1,1,1,0,2
-73.9861892,40.5862763,1,1,1,0,2
-73.9982427,40.5976845,1,1,1,0,2
-73.9923627,40.6896895,0,2,0,4,3
-73.9817565,40.6415366,1,1,3,2,0
-73.9736856,40.6770772,0,2,0,4,3
-73.9546088,40.7323234,0,2,0,4,4
-73.8873872,40.6409806,0,0,2,1,1
-73.9446133,40.7159383,0,2,0,4,4
-73.940233,40.7170917,0,2,0,4,4
-73.892095,40.6286583,0,0,2,1,1
-73.997557,40.6401355,1,1,3,2,0
-73.9497689,40.6526435,0,0,2,3,5
-73.9421068,40.7110596,0,2,0,4,4
-74.0032408,40.6718514,1,2,3,2,3
-74.0135519,40.6767967,1,2,3,2,3
-73.9529114,40.7140618,0,2,0,4,4
-73.9698248,40.5884279,1,1,1,0,2
